80,"JUEGOS DE DESARMADORES ",bueno,pieza,6,INM-008,Herramienta,"Julio Avalos"
81,"EXTENCIONES DE USO RUDO 20 metros",bueno,pieza,2,INM-008,Herramienta,"Julio Avalos"
82,"CEPILLO DE ALAMBRE 51 ",bueno,pieza,3,INM-008,Herramienta,"Julio Avalos"
83,"MARRO DE 3 LIBRAS",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
84,"MARRO DE 2 LIBRAS",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
85,"MARRO DE 4 LIBRAS ",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
86,"CINCEL DE CORTE FRIO 3/4""",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
87,MARTILLOS,bueno,pieza,2,INM-008,Herramienta,"Julio Avalos"
88,"CINCEL 7/8""",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
89,"TIJERAS PARA OJALATERO ",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
90,"SOLDADORA INVERSORA ",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
91,"INYECTOR DE GRASA USO RUDO ",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
92,"ESMERIL GRANDES DEWALT",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
93,"MINI PULIDOR DEWALT",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
94,"MINI PULIDOR BOSCH",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
95,"RECTIFICADORA DEWALT",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
96,"TALADRO MILWAUKEE",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
97,"TALADRO DEWALT",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
98,"TALADRO ROTOMARTILLO BOSCH",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
99,"NIVELETA DE ALUMINIO 24"" TRUPER",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
100,"NIVELETA DE ALUMINIO 18"" TRUPER",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
101,"NIVELETA DE ALUMINIO 36"" TRUPER",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
102,"NIVEL DE MANO",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
103,"PINZAS PONCHADORA DE BARRIL",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
104,"PINZAS DE PRESION HOJALATERIA 8""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
105,"PINZAS HYSKY 6""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
106,"PINZAS DE ELECTRICISTA ",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
107,CHISPERAS,normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
108,"JUEGOS DE BROCAS MILWAUKEE",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
109,CINCEL,normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
110,"NAVAJA HUSKY TABLAROCA ",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
111,"JUEGO DE SACABROCAS",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
112,"JUEDO DE DADOS MILIMETRICOS DE 12 pza",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
113,"JUEGO DE DADOS ESTANDAR DE 12 pza",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
114,"MATRACA HUSKY",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
115,"ESCUADRA UNIVERSAL DE 12""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
116,"ESCUADRA MILWAUKEE",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
117,"MARTILLO DE BOLA TRUPER ",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
118,"BROCA DE CONCRETO DE 3/8""",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
